"Symbol","Date/Time","Buy/Sell","Quantity","Price","Commission"
"AMPX","2025-09-26;00:24:42 AEST","SELL","-96","10.72","-1.018048"
"AMPX","2025-09-26;00:24:43 AEST","SELL","-300","10.72","-1.0364"
"AMPY","2025-09-29;23:54:53 AEST","BUY","100","5.36","-1.0022"
"AMPY","2025-09-29;23:55:15 AEST","BUY","100","5.35","-0.0022"
"AMPY","2025-09-29;23:55:16 AEST","BUY","100","5.36","-0.5022"
"AMPY","2025-09-29;23:55:16 AEST","BUY","100","5.36","-0.5022"
"AMPY","2025-09-29;23:55:32 AEST","BUY","100","5.36","-0.5022"
"AMPY","2025-09-29;23:55:32 AEST","BUY","100","5.36","-0.5022"
"AMPY","2025-09-29;23:55:32 AEST","BUY","53","5.36","-0.266166"
"AMPY","2025-09-29;23:55:32 AEST","BUY","100","5.36","-0.5022"
"AMPY","2025-09-30;00:13:20 AEST","BUY","100","5.31","-1.0022"
"AMPY","2025-09-30;00:13:20 AEST","BUY","300","5.31","-1.0066"
"AMPY","2025-09-30;00:13:20 AEST","BUY","100","5.31","-0.5022"
"AMPY","2025-09-30;00:13:32 AEST","BUY","253","5.31","-1.270566"
"AMPY","2025-09-30;01:02:39 AEST","SELL","-3","5.39","-0.171264"
"AMPY","2025-09-30;01:02:39 AEST","SELL","-50","5.39","-0.8387"
"AMPY","2025-09-30;01:02:39 AEST","SELL","-300","5.39","-0.8214"
"AMPY","2025-09-30;01:02:39 AEST","SELL","-200","5.39","-1.0376"
"AMPY","2025-09-30;01:02:39 AEST","SELL","-200","5.39","-1.0376"
"AMZN","2025-09-26;23:40:03 AEST","BUY","100","220.19","-1.0022"
"AMZN","2025-09-26;23:40:03 AEST","BUY","100","220.19","-0.0022"
"AMZN","2025-09-26;23:40:03 AEST","BUY","100","220.19","-0.5022"
"AMZN","2025-09-26;23:40:03 AEST","BUY","100","220.19","-0.5022"
"AMZN","2025-09-26;23:42:48 AEST","BUY","52","220.75","-1.001144"
"AMZN","2025-09-26;23:42:48 AEST","BUY","100","220.75","-0.0022"
"AMZN","2025-09-26;23:42:48 AEST","BUY","100","220.74","-0.2622"
"AMZN","2025-09-26;23:42:48 AEST","BUY","48","220.75","-0.241056"
"AMZN","2025-09-26;23:42:48 AEST","BUY","100","220.75","-0.5022"
"AMZN","2025-09-26;23:47:12 AEST","BUY","300","220.67","-1.5066"
"AMZN","2025-09-26;23:47:12 AEST","BUY","90","220.67","-0.45198"
"AMZN","2025-09-26;23:47:12 AEST","BUY","10","220.67","-0.05022"
"AMZN","2025-09-26;23:40:56 AEST","SELL","-100","220.03","-1.0188"
"AMZN","2025-09-26;23:40:56 AEST","SELL","-100","220.03","-0.0188"
"AMZN","2025-09-26;23:40:56 AEST","SELL","-100","220.03","-0.5188"
"AMZN","2025-09-26;23:40:57 AEST","SELL","-100","220.03","-0.5188"
"AMZN","2025-09-26;23:43:37 AEST","SELL","-100","220.51","-1.0188"
"AMZN","2025-09-26;23:43:38 AEST","SELL","-28","220.5","-0.005264"
"AMZN","2025-09-26;23:43:38 AEST","SELL","-100","220.51","-0.1588"
"AMZN","2025-09-26;23:43:38 AEST","SELL","-100","220.51","-0.5188"
"AMZN","2025-09-26;23:43:38 AEST","SELL","-72","220.51","-0.373536"
"AMZN","2025-09-26;23:47:31 AEST","SELL","-180","220.47","-1.03384"
"AMZN","2025-09-26;23:47:31 AEST","SELL","-100","220.47","-0.4188"
"AMZN","2025-09-26;23:47:31 AEST","SELL","-100","220.46","-0.5188"
"AMZN","2025-09-26;23:47:32 AEST","SELL","-20","220.46","-0.10376"
"ANDE","2025-09-23;00:16:58 AEST","BUY","52","37.9","-1.001144"
"ANDE","2025-09-23;05:55:06 AEST","SELL","-52","38.42","-1.009776"
"AQMS","2025-09-25;23:30:03 AEST","BUY","300","5.21","-1.5066"
"AQMS","2025-09-25;23:30:11 AEST","BUY","75","5.21","-0.37665"
"AQMS","2025-09-26;05:55:06 AEST","SELL","-75","4.85","-1.0141"
"AQMS","2025-09-26;05:55:07 AEST","SELL","-25","4.85","-0.0047"
"AQMS","2025-09-26;05:55:47 AEST","SELL","-100","4.85","-0.0188"
"AQMS","2025-09-26;05:55:47 AEST","SELL","-100","4.85","-0.5188"
"AQMS","2025-09-26;05:55:52 AEST","SELL","-75","4.85","-0.3891"
"AQST","2025-09-24;05:55:05 AEST","BUY","100","5.19","-1.0022"
"AQST","2025-09-24;05:55:05 AEST","BUY","200","5.19","-0.5044"
"AQST","2025-09-24;05:55:05 AEST","BUY","66","5.19","-0.331452"
"AQST","2025-09-24;00:24:29 AEST","SELL","-366","5.45","-1.898808"
"ARBB","2025-09-24;23:48:33 AEST","BUY","100","10.85","-1.0022"
"ARBB","2025-09-24;23:48:44 AEST","BUY","84","10.85","-0.001848"
"ARBB","2025-09-25;05:55:02 AEST","SELL","-100","11.82","-1.0188"
"ARBB","2025-09-25;05:56:33 AEST","SELL","-84","11.82","-0.015792"
"ARES","2025-09-25;23:43:19 AEST","BUY","12","164.5","-1.000264"
"ARES","2025-09-26;05:55:05 AEST","SELL","-12","163.39","-1.002256"
"ARVN","2025-10-01;05:55:05 AEST","BUY","31","8.5","-1.000682"
"ARVN","2025-10-01;05:55:05 AEST","BUY","200","8.5","-0.1594"
"ARVN","2025-09-30;23:59:23 AEST","SELL","-231","8.65","-1.198428"
"ASTS","2025-09-23;23:51:11 AEST","BUY","300","51.94","-1.5066"
"ASTS","2025-09-23;23:51:11 AEST","BUY","100","51.94","-0.5022"
"ASTS","2025-09-23;23:51:34 AEST","SELL","-400","52.14","-2.0752"
"ATAI","2025-09-25;03:53:04 AEST","BUY","200","5.38","-1.0044"
"ATAI","2025-09-25;03:53:04 AEST","BUY","171","5.38","-0.858762"
"ATAI","2025-09-25;05:55:03 AEST","SELL","-371","5.47","-1.924748"
"AXTI","2025-09-24;00:18:31 AEST","BUY","407","4.91","-2.043954"
"AXTI","2025-09-24;05:55:05 AEST","SELL","-407","4.81","-2.111516"
"BABA","2025-09-25;23:36:31 AEST","BUY","400","171.03","-2.0088"
"BABA","2025-09-25;23:36:20 AEST","SELL","-35","170.81","-1.00658"
"BABA","2025-09-25;23:36:20 AEST","SELL","-100","170.81","-0.0188"
"BABA","2025-09-25;23:36:20 AEST","SELL","-165","170.81","-0.53102"
"BABA","2025-09-25;23:36:20 AEST","SELL","-100","170.81","-0.5188"
"BBD","2025-09-22;23:30:10 AEST","SELL","-1000","3.28","-5.188"
"BBD","2025-09-22;23:30:10 AEST","SELL","-250","3.28","-1.297"
"BIDU","2025-09-25;00:10:41 AEST","BUY","15","132.43","-1.00033"
"BIDU","2025-09-24;23:30:10 AEST","SELL","-15","130.92","-1.00282"
"BKKT","2025-10-01;05:55:06 AEST","BUY","69","33.75","-1.001518"
"BKKT","2025-09-30;23:52:28 AEST","SELL","-69","28.59","-1.012972"
"BTQ","2025-09-30;00:32:25 AEST","BUY","100","6.85","-1.0022"
"BTQ","2025-09-30;00:32:25 AEST","BUY","40","6.87","-0.00088"
"BTQ","2025-09-30;00:32:25 AEST","BUY","100","6.87","-0.2022"
"BTQ","2025-09-30;00:32:25 AEST","BUY","100","6.87","-0.5022"
"BTQ","2025-09-30;00:01:38 AEST","SELL","-100","6.29","-1.0188"
"BTQ","2025-09-30;00:01:39 AEST","SELL","-100","6.29","-0.0188"
"BTQ","2025-09-30;00:01:44 AEST","SELL","-100","6.35","-0.5188"
"BTQ","2025-09-30;00:01:54 AEST","SELL","-40","6.36","-0.20752"
"BTU","2025-09-22;23:30:04 AEST","SELL","-100","22.26","-1.0188"
"BTU","2025-09-22;23:30:05 AEST","SELL","-100","22.26","-0.0188"
"BTU","2025-09-22;23:30:12 AEST","SELL","-10","22.26","-0.05188"
"BZUN","2025-09-22;23:31:05 AEST","SELL","-956","4.2","-4.959728"
"CART","2025-09-30;23:30:08 AEST","BUY","54","36.45","-1.001188"
"CART","2025-10-01;05:55:06 AEST","SELL","-54","36.5","-1.010152"
"CLOV","2025-09-24;00:07:44 AEST","BUY","500","3.17","-2.511"
"CLOV","2025-09-24;00:07:44 AEST","BUY","100","3.17","-0.5022"
"CLOV","2025-09-24;00:07:44 AEST","BUY","61","3.17","-0.306342"
"CLOV","2025-09-24;00:07:44 AEST","BUY","600","3.17","-3.0132"
"CLOV","2025-09-29;23:48:34 AEST","SELL","-400","3.19","-2.0752"
"CLOV","2025-09-29;23:48:34 AEST","SELL","-61","3.19","-0.316468"
"CLOV","2025-09-29;23:48:34 AEST","SELL","-100","3.19","-0.5188"
"CLOV","2025-09-29;23:48:34 AEST","SELL","-300","3.19","-1.5564"
"CLOV","2025-09-29;23:48:34 AEST","SELL","-400","3.19","-2.0752"
"COGT","2025-09-30;23:41:46 AEST","BUY","100","13.74","-1.0022"
"COGT","2025-09-30;23:41:46 AEST","BUY","45","13.74","-0.00099"
"COGT","2025-10-01;05:55:05 AEST","SELL","-100","14.37","-1.0188"
"COGT","2025-10-01;05:55:06 AEST","SELL","-45","14.37","-0.00846"
"CPSH","2025-09-25;23:39:56 AEST","BUY","100","3.79","-1.0022"
"CPSH","2025-09-25;23:39:57 AEST","BUY","200","3.79","-0.5044"
"CPSH","2025-09-25;23:39:58 AEST","BUY","100","3.79","-0.5022"
"CPSH","2025-09-25;23:39:58 AEST","BUY","27","3.79","-0.135594"
"CPSH","2025-09-25;23:39:58 AEST","BUY","100","3.79","-0.5022"
"CPSH","2025-09-26;05:55:05 AEST","SELL","-100","3.86","-1.0188"
"CPSH","2025-09-26;05:55:19 AEST","SELL","-200","3.86","-0.5376"
"CPSH","2025-09-26;05:56:35 AEST","SELL","-227","3.86","-1.177676"
"CRK","2025-09-25;05:55:02 AEST","BUY","103","19.27","-1.002266"
"CRK","2025-09-24;23:32:47 AEST","SELL","-3","19.33","-0.589464"
"CRK","2025-09-24;23:32:47 AEST","SELL","-100","19.33","-0.4299"
"CRNX","2025-09-30;03:58:47 AEST","BUY","46","43.47","-1.001012"
"CRNX","2025-09-30;05:55:06 AEST","SELL","-46","43.37","-1.008648"
"CRS","2025-09-25;23:33:32 AEST","BUY","8","229.3","-1.000176"
"CRS","2025-09-26;05:55:06 AEST","SELL","-8","232.48","-1.001504"
"CRWD","2025-09-25;23:41:21 AEST","BUY","8","471.42","-1.000176"
"CRWD","2025-09-26;00:37:56 AEST","SELL","-8","474.71","-1.001504"
"CTMX","2025-09-27;05:55:05 AEST","BUY","300","2.9","-1.5066"
"CTMX","2025-09-27;05:55:05 AEST","BUY","200","2.9","-1.0044"
